[1.24732193]
[1.27464302]
[0.97924757]
[0.96910523]
[1.18223072]
[0.73901636]
[2.15563796]
[1.44905552]
[1.76224905]
[1.290963]
[1.22106528]
[0.8437413]
[0.98179255]
[1.2263213]
[1.22113192]
[1.22863395]
[0.76320629]
[1.1049879]
[1.28079946]
[1.26661359]
[1.22001151]
[0.77539608]
[0.95499476]
[0.42464112]
[2.18019639]
[1.30009225]
[1.05171455]
[0.85452259]
[1.24167767]
[0.75177386]
[0.86888265]
[1.4704157]
[0.76075847]
[2.00666582]
[2.13107661]
[1.94461805]
[0.62548439]
[1.29471294]
[2.09946567]
[0.95264474]
[1.30909714]
[0.78863898]
[2.19872347]
[0.50703776]
[1.28665105]
[1.93405385]
[1.2326]
[1.22187503]
[1.22474747]
[1.08278171]
[0.63767246]
[0.66278189]
[1.27974849]
[0.89247192]
[2.1997467]
[2.19466095]
[2.21227274]
[1.38562994]
[2.0957353]
[2.21771059]
[1.58625662]
[1.41154606]
[2.14281123]
[2.20020847]
[0.98292164]
[1.27679753]
[1.29156289]
[1.29953223]
[1.00763686]
[1.97664136]
[1.29873444]
[1.22683084]
[1.3992379]
[1.18099084]
[0.6966817]
[0.98277243]
[0.65981712]
[1.14864018]
[1.29943873]
[0.87859838]
[1.33256317]
[1.29614886]
[2.15737942]
[1.91678245]
[0.54945574]
[1.28618081]
[0.53285304]
[1.06272553]
[1.29943393]
[1.22103925]
[1.26376638]
[1.15622251]
[2.21531528]
[2.00530971]
[0.7818505]
[0.77133213]
[1.9072501]
[1.56513784]
[0.40433245]
[1.14390256]
[1.44777682]
[1.05998276]
[1.907751]
[1.16331839]
[0.96072481]
[0.50042093]
[1.29439758]
[2.03334784]
[2.21744722]
[1.9500842]
[1.98383378]
[1.99411573]
[2.01162342]
[1.24212598]
[1.13127484]
[1.20133882]
[1.37610756]
[1.09399944]
[0.86181597]
[0.55267139]
[1.25677494]
[1.24406465]
[2.17832922]
[1.73637353]
[2.14688845]
[1.22912389]
[0.85234941]
[0.65571478]
[0.70235005]
[1.08919989]
[2.16839204]
[1.83406157]
[1.14916932]
[2.09054789]
[1.19043868]
[0.93033468]
[0.96736348]
[0.67869472]
[1.66407134]
[1.22501947]
[1.31075425]
[1.22802891]
[1.43866209]
[1.13163817]
[1.92280927]
[1.29989806]
[1.25011664]
[1.12675791]
[0.92157466]
[2.20828323]
[0.51012538]
[1.86963597]
[0.8977044]
[0.77515951]
[0.79600553]
[0.88350943]
[1.22432726]
[0.63729378]
[1.23695933]
[1.22702539]
[0.69510527]
[0.76969799]
[0.65416253]
[0.48770917]
[2.20277196]
[1.28912242]
[1.28034137]
[2.05341865]
[1.28982837]
[2.05979331]
[1.74209093]
[1.22296134]
[1.62996978]
[0.87161582]
[1.0475319]
[1.26601439]
[0.55313451]
[1.22013182]
[1.23254758]
[0.9469176]
[1.29093373]
[1.71559322]
[1.22518429]
[1.56154021]
[2.15319542]
[1.34848818]
[1.29167144]
[1.25306217]
[1.22416483]
[0.70796489]
[1.28222558]
[0.72390011]
[1.24676644]
[2.21772854]
[1.29452625]
[0.6154684]
[0.76492706]
[2.11325734]
[0.62794977]
[0.90624388]
[1.38861677]
[2.1913428]
[1.27506865]
[0.8532799]
[1.24567509]
[1.52002217]
[1.04073227]
[1.68304594]
[1.2873973]
[1.27787841]
[1.51391707]
[0.67053248]
[2.17174351]
[0.66573614]
[1.54395561]
[1.28712011]
[0.6693211]
[0.6142897]
[0.59556626]
[1.24235857]
[1.30008979]
[2.09855219]
[1.25211559]
[1.39504038]
[2.16680798]
[1.05226491]
[0.69474669]
[1.38321534]
[0.61113625]
[1.56966958]
[1.91193306]
[1.30048039]
[0.73198712]
[1.20144496]
[0.9587664]
[1.25484229]
[2.2007934]
[0.71890724]
[1.27532547]
[1.26479044]
[0.78131572]
[1.2987412]
[1.94546164]
[0.90515394]
[1.77342461]
[1.29730974]
[0.68823045]
[1.25137969]
[1.23346628]
[1.24062227]
[0.82193224]
[1.22986029]
[1.28862407]
[1.29781275]
[1.86571628]
[2.05239338]
[1.40110808]
[0.82646646]
[1.28203962]
[1.19369066]
[1.90654156]
[1.22488634]
[2.00190972]
[1.29995424]
[1.210875]
[1.28329766]
[1.26216049]
[0.78915806]
[2.03412217]
[1.21999253]
[1.38461642]
[0.61305927]
[1.2055695]
[1.27102298]
[0.71359415]
[1.71605164]
[1.81909615]
[1.28142964]
[0.5626683]
[2.18619276]
[2.21755693]
[2.07405743]
[1.32594365]
[2.00412614]
[2.17978153]
[0.86802861]
[1.63223938]
[1.46257481]
[2.02302869]
[0.67725898]
[0.71508841]
[1.12410129]
[1.23581156]
[1.24825241]
[1.05085462]
[1.21972377]
[1.28448079]
[0.78526644]
[1.80635018]
[1.24607261]
[0.63290357]
[0.97904958]
[1.04002469]
[1.2676364]
[1.58757729]
[0.96007523]
[0.56277772]
[0.72056801]
